keywords,story
"chair, furniture, piece, dresser, chest","Chairs  A chair is a piece of furniture. Furniture makes a room ready to use. Tables, beds, dressers, chests, and things like that are furniture. People sit on chairs to eat, rest, read, relax, or work. People use chairs indoors and outdoors. A chair is a useful piece of furniture."
"report, attempt, bullying, team, member","What To Do in Response to a Bullying Attempt There are three steps to responding to a bullying attempt. STEP  is ___________________________________________________________________________ STEP  is ___________________________________________________________________________ STEP  is Report the bullying attempt to a member of My Team. Knowing why a report is important, what to report, how to report it, and whom to give my report to helps me stay in good selfcontrol. I may write Report the bullying attempt to a member of My Team in the arrowshaped action symbol on the next page. ________________________________ ________________________________ ________________________________Why is it Important to Report Bullying Attempts?Reporting is how people learn about important events that occur in other places. Often, anadult is not present when someone makes a bullying attempt. Sometimes, an adult may bepresent, but does not see the bullying attempt. My Team and I will make a plan for reportingbullying attempts. That plan will include deciding what to report, how I will make my report,and who will receive my report. What to Report Like news reporters, it is important for all students to learn how to carefully report bullying information to adults. A good report will include  Where the bullying attempt occurred  When the bullying attempt occurred  Who made the bullying attempt  What was said and done during the bullying attempt. How to Report My Team and I will make a plan for reporting that is immediate, factual, and that works well for everyone on the team. The best reports of bullying attempts occur right after the attempt happens. That way, it is easiest to remember the facts to describe the bullying attempt. This is very important. The best reports of bullying attempts are factual. A factual report uses true sentences to describe where the bullying attempt occurred, when the bullying attempt occurred, who made the bullying attempt, and what was said andor done. A student leaves a bullying attempt and tries to immediately make a factual report to a team member. The first part of the plan is deciding how a student will report bullying attempts to the Team. Some students talk with a Team member to report a bullying attempt. Some students writeto a Team member to report. Some students report bullying attempts by using a reportingform. Every Team has its own best plan. My Team and I will fill in  in the plan below. Thiscompletes the first part of our plan. The second part of our plan is deciding who receives my report. Each adult member of MyTeam knows how to help when I have a report. Sometimes, one member of My Team may besick or in another place. This is okay. There are other members of the Team. They are listedin order. I will try to give my report to the Team member at the top of the list. If that personis not nearby, then I will try to report to the Team member on the next line, and so on. It isimportant to report to a member of My Team. nMy Teams Plan for Reporting Bullying EventsI will try to Adult Team Members will try to. Report bullying attempts right away . Listen to or read my report right away. Use facts to report bullying attempts. Clarify the facts if necessary. Report bullying attempts by . Take helpful action. ______________________________________________________________________________________________________________________________________I will give my report to. ___________________________________. If not nearby, I will give my report to. ___________________________________. If not nearby, I will give my report to. ___________________________________."
"moving, home, box, pack, new","Moving to a New HomeMy family is moving to a new home. Thisis our moving plan, in three big steps Pack our furniture, and put other things in moving boxes. Take our furniture and boxes to the new home. Put our furniture and other things into the new home. I am moving to a new home. I may packsome of my toys and things. This is mymoving plan in three big steps Pack. We will put most of my toys and other things in moving boxes. Move. We will take the boxes to the new home. Unpack. We will put my toys and things in my home. It is good to have a moving plan. My family and I have a plan for our move to a new home."
"hope, answer, idea, adult, say","If the Answer Is NoA Story of Hope for ChildrenI have many ideas. I have ideas aboutthings I would like to do. My idea may bean adults decision to make. When thishappens, it is important for me to try to askfor permission. Sometimes the adult willsay no. If the answer is no, there may behope. Sometimes, when an adult says no, it alsomeans, I am too tired to do that now. Thereshope Maybe tomorrow it will be okay. Sometimes, when an adult says no, it alsomeans, That is not safe. There is hope Maybeit can be made safer for me. Sometimes, when an adult says no, it alsomeans, Later the answer will be yes. Thereshope Later almost always comes. Sometimes, when an adult says no, it also means, We do not have enough money to buy that. There is hope Maybe we can save some money to buy it someday. Sometimes, when an adult says no, it means, No, I will never allow that. There is hope The world is full of other things to do. When adults have to say no, they really love it when children try to stay calm. That way, the answer is no but everything else is still okay. And, they are more likely to say yes to another idea. I have many ideas. Sometimes the answer will be no. I will try to think, There is hope and stay calm. n  Home."
"sentence, say, attempt, bullying, one","What To Say in Response to aBullying Attempt and How To Say ItThere are three steps to responding to a bullying attempt. STEP  is___________________________________________________________________________STEP  is Say one sentence well. Knowing what to say and how to say it helps a student use good selfcontrol. What to SayThere are three sentences in the list below. I may choose one of these sentences. I will tryto choose the one sentence that is the most true for me and the easiest for me to say. Thisis to be written in the talk symbol. This one sentence is what I will try to say in response toa bullying attempt. I hear you. I need you to stop. I do not like that stop it. I have a choice. I may choose one sentence and write it in the talk symbol below. ________________________________ ________________________________ ________________________________ When I say my one sentence, the student who bullies may keep talking. This can happen when a student is out of control. I have said my one sentence. I am finished. It is time to go. It is right to leave a bullying attempt, even if the student who bullies is still talking. This keeps me mistakefree and in good selfcontrol. How To Say ItI have facts and a picture to think about to help me stay calm. I have one sentence to say. AsI say the sentence, I will try to Keep all parts of my body to myself Stand straight with my head up Use a steady incontrol voice Keep a safe distance Walk away after one sentenceKnowing what to say and how to say it takes practice. A member of My Team can help mepractice. STEP  is Say one sentence well."
"chair, toilet, pee, poop, seat","A Toilet is Not a Chair A toilet is not a chair, that is for sure. A toilet is a fixture with a pipe that takes pee and poop to a waste treatment plant. It has asafe seat with a space for pee and poop to pass through. A chair is a piece of furniture. It has a solid seat. People use chairs for many reasons, but neverto pee or poop. A toilet is definitely not a chair, anytime or anywhere  n ."
"toilet, catch, hold, pee, poop","Why Do People Have Toilets?  This is a picture of a toilet. As people grow, they learn to use toilets to catch and hold their pee and poop. Every toilet catches and holds pee and poop that people do not need anymore. People learn to use toilets to catch and hold their pee and poop."
"adult, decision, respect, child, learned","Learning to Respect Adults Adults were here before me. Their birth dates came before mine. It is important for children to understand that adults are adults. Adults have been here a long time. Adults have read more, studied more, and learned more. For this reason, adults make most of the decisions. That is Life on Planet Earth. Sometimes, children wish that they could make adult decisions. Adults were once children who wished that at times, too. Now that they are adults, they have learned how difficult it can be to make decisions. Understanding this may make it easier for children to respect adults and the decisions that they make. I am a child. I am learning about adults. Adults have been here a long time. They have a lot of experience. They know a lot. I will try to respect adults, and the deci sions that they make."
"hurry, mean, might, parent, please","Please Hurry Up Parents often say, Hurry up What might a parent be thinking? At different times of the day, what might hurry up mean? On a school day morning, hurry up may mean I do not want you to be late  or  please move faster as you get ready for school Once in a while, hurry up may mean finish ing an activity in another way, like finishing a piece of toast in the car instead of at the kitchen table. At home during free time, hurry up may mean come now. It is time to leave an activ ity until later. Sometimes parents say, Hurry up Knowing what hurry up means may make it easier to follow their request."
"permission, flower, antoine, pick, brooklyn","PermissionChildren have many ideas. They have ideas about things they would like to do. A childs ideamay be an adults decision to make. When this happens, children need to ask for permission. Permission is something that adults give to children. It is not a thing like a toy or chocolate. Permission is an okay to go ahead with an idea. Sometimes children get the permission thatthey need, other times they do not. Here are two examplesAntoine has an idea. He wants to take Jasper, his hamster, outside. Antoines idea is hismoms decision to make. So Antoine asks his mom, May I take Jasper outside? Antoinesmom says, Not right now. Not right now means, No, not at this time. Jasper the hamsterstays inside. Brooklyn wants to pick flowers. She asks her dad, May I pick a flower from our garden?Her dad says, Sure. Sure means, It is okay for Brooklyn to pick one flower. Picking more thanone flower may be a problem, because Brooklyn got her dads permission to pick only oneflower. Sometimes when children ask for permission, the answer means no. Other times whenchildren ask for permission, the answer means yes. Permission is needed when a child has an idea, and it is an adults decision to make. Sometimes children get the permission that they need, other times they do not. Either way, thatsLife on Planet Earth n ."
"adult, know, everything, seem, get","Do Adults Know Everything?To children, it may seem likeadults know everything. Adultsknow how to get ready in themorning. They know how todrive. Most adults know enoughto get through each day without having to go to a book orthe Internet for help. To children, it may seem likeadults always know what to do. The truth is, sometimes adultsget confused. They may make awrong turn while driving or say,Hi Evelyn to Ellen. They may have a problem and not know how to solve it. Most of thetime, this is okay. All people get confused at times. Adults do not know everything. Most adults do know where to find the information that theyneed. They know where to get help. Knowing where to get information, or how to get help,takes practice. Some adults are better at it than others. Sometimes it may seem like adults know everything. The truth is, adults do not know everything. This is okay."
"toilet, lid, picture, bowl, fixture","What is a Toilet?  A toilet is a bathroom fixture. Each toilet has a bowl, seat, and lid. This is a picture of a toilet. This is another picture of a toilet. This is a picture of a toilet in my house. A toilet is a bathroom fixture with a bowl, seat, and lid."
"clothes, tight, fit, size, bigger","Why Do I Need New Clothes?  I am a child, and I am growing taller and bigger. All children grow. Their clothes stay the same size. For this reason, childrens clothing fits for a few months or so. The time comes when clothing is too small. Shoes may fit tight and toes may feel crowded inside shoes. Or, pants are tight or short. Sometimes, shirts get hard to button. It is time for new clothes. I need new clothes because I get bigger, and my clothes stay the same size."
"change, unexpected, challenging, unwelcome, circle","My Theory about ChangeHeres a theory Expected and welcome changes are the easiest. Unexpected and unwelcome changes are the most difficult. For many people, changing from one day to another is easy. It is an expected and welcomed change. One change that I like and expect isFor me, this change is circle one EASY CHALLENGING DIFFICULTUnexpected changes are a surprise. Some surprises are nice. For me, one unexpected butnice change surprise isFor me, this change is circle one EASY CHALLENGING DIFFICULTSome unexpected changes are also unwelcome. Unexpected and unwelcome changes oftenmake people do something that they would rather not do. For me, an unexpected andunwelcome change isFor me, this change is circle one EASY CHALLENGING DIFFICULT Life may seem simple by looking at a calendar. But each day is not just the activities andappointments that are listed there. Some of lifes most challenging events are those thatare never written on a calendar. nThe New Social StoryTM Book, th Anniversary Edition by Carol Gray, Future Horizons, Inc."
"stand, student, behind, door, line","Lining up at the DoorThere are many students at my school. Sometimes my teacher tells the students to lineup at the door. Lining up at the door usuallymeans we will all be walking to another place. When we line up at the door we try to standone student behind the other. One studentis first. A second student stands behind thefirst. A third student stands behind the second. Except for the first student, each studentstands behind another student in the line. The line stands for a few moments. Sometimes it may feel a little crowded or squishy. This often happens when many studentsstand in a small space. Sometimes childrentuck in their shirts or scratch their heads. Sometimes students just wiggle a little. Theymay touch students around them as they dothese things. My teacher may ask us to stand still. This makes standing in a line more comfortable andgets us ready to walk. When my teacher tells us to line up at the door, it helps to know what it means and whatto expect."
"fun, activity, end, minute, done","It Was Fun but Now We are DoneThere are times when adults start a fun activity withchildren. There are also times when children find afun thing to do on their own. All fun activities end. Adults are used to having funactivities end. So they often handle it better thanchildren. Little by little, children learn to end funactivities, too. It is helpful to know when a fun activity needs toend. So, an adult may say, In a few minutes, wehave to put the toys away. This means playtimewill end soon, but not now. A few minutes pass. Then, an adult may say, Itwas fun, but now we are done. This is a special sentence. It means that the fun activity ends now. Itstime to put things away. It is time to go to anotheractivity or task. Sometimes, children think, There will be another time for fun. This helps them to stay calmand cooperative. They are right, too. There will be another fun time. When I hear the special sentence, It was fun, but now we are done, I will try to think of funtimes to come. When a fun activity ends, I will try to stay calm and cooperative."
"adult, child, really, older, understand","Adults Are ChildrenWho Kept Getting OlderMany children learn about adults asthey grow. I am a child. I am learningabout adults. Understanding adultscan make it easier to work and playwith them. Adults are older people. They werechildren long ago. They would stillbe children if they had not been herefor so long. They could not help itthey did not decide to be adults. Itwasnt a choice that they made. Theyjust kept growing older. Sometimes, it helps to think of adults as really, really, really old children. Children like to havefun. So do adults. Children like to eat their favorite foods and snacks that may not quite befood. So do adults. Children like to play. So do adults. Children have feelings. So do adults. Thinking of adults as really, really, really old children may help me to remember that eachadult was once a child, like me. Adults may be easier to understand if I try to remember thatthey were once children, too. Someday, I will be an adult. My turn as an adult is on its wayit is closer each day. Until then,I will try to remember that adults were children once, too. This may make adults a little easierfor me to understand."
"team, learned, bullying, attempt, member","What My Team Has Learned about Responding to a Bullying Attempt A FACTUAL REPORT BY THE MEMBERS OF MY TEAM ___________________________________________________________________________ ___________________________________________________________________________ Team members sign on these lines. This section completed by adult Team members. My Team has learned a lot about how to respond to a bullying attempt. For example, the adult members of My Team have learned  . ________________________________________________________________________ . ________________________________________________________________________ . ________________________________________________________________________  My Team is working to keep our school and neighborhood safe and comfortable for allstudents. They are. ________________________________________________________________________. ________________________________________________________________________. ________________________________________________________________________ This section completed by ___________________________My Team has learned a lot about how to respond to a bullying attempt. I have learned threesteps to responding to a bullying attempt. STEP  is __________________________________________________________________STEP  is __________________________________________________________________STEP  is __________________________________________________________________My Team and I have learned the three steps to respond to a bullying attempt. Now, wecan work together to fill in the thought, talk, and arrow symbols on page . People are learning about bullying all over the world. Some people learn by completingworkbooks and practicing. All people learn by working together. Look at what My Teamhas learned Together, we will keep practicing. n Understanding Adults."
"done, activity, fun, list, task","It May Not Be Funbut It Has to Be DoneI am learning about responsibility. Responsibility is completing activities that may not befun, but have to be done. There are activities that are fun. Many people think that watching a good movie is fun. List A is my list of three fun activities and why I like to do them. An adult may help. LIST A FUN ACTIVITIES. ________________________________________________________________________I like this activity because _____________________________________________________. ________________________________________________________________________I like this activity because _____________________________________________________. ________________________________________________________________________I like this activity because _____________________________________________________ There are tasks that may not be funbut have to be done. Many people think taking out the garbage is not fun. It has to be done or our home would smell like garbage. List B has lines to write three tasks that are not fun and why they have to be done. LIST B MAY NOT BE FUN BUT HAVE TO BE DONE TASKS  . ________________________________________________________________________ It has to be done because _____________________________________________________ . ________________________________________________________________________ It has to be done because _____________________________________________________ . ________________________________________________________________________ It has to be done because _____________________________________________________ Sometimes, parents decide that children need to complete tasks from List B, before choosing activities from List A. This is an adult decision to make. It is also called teaching children responsibility. I am learning to be responsible. When an adult decides a task has to be done, I will try to complete it before my activities in List A."
"line, straight, drink, keeping, pretty","Learning about Lines at School I am learning about lines at school. Knowing how to use school lines is important. On the playground, many children may want to use the slide. As one child slides, the other children wait in a line for their turn. Keeping the line pretty straight makes it easy to know who slides next. At the drinking fountain, many children may want a drink of water. As one child drinks the other children wait in a line for their turn. Keeping the line pretty straight makes it easy to know who drinks next. In the cafeteria, many children want to get their lunch. As a few children get lunch, the other children wait in a line for their turn. Keeping the line pretty straight makes it easy to know who gets their lunch next. Lines help children share the playground, drinking fountain, and cafeteria safely and fairly. Lines help children in other places at school, too Keeping lines pretty straight makes it easy to know who is next. I will try to practice what I am learning about lines when taking turns at schools, and other places, too n  ."
"butterfly, caterpillar, egg, cocoon, stage","The Transformers around Us BUTTERFLIES Life is full of real transformers. They change their formand how they lookfollowing a biological plan. A butterfly is a real transformer. Its life cycle is a biological plan with four stages. First, there is an egg that is laid on a leaf near butterfly food. It is not an egg for long. Second, the egg becomes a caterpillar. Caterpillars may have stripes or patches. They eat and grow. Their skin becomes too small. They she would it. A caterpillar grows fast. It may have to she would its skin four or more times. The third stage is a pupa also called a chrysalis or cocoon. This is the transformation stage. On the outside, a cocoon looks still. It is silent. On the inside, a lot is happening. The caterpillar is changing into a butterfly. The fourth stage is the adult butterfly. Many butterflies have colorful wings. They can fly. They lay eggs, near food, that grow into caterpillars, and then cocoons, to become butterflies. Some of the changes around us are transformations that follow a plan, over and over again. They are quiet transformations that are an important part of Life on Planet Earth."
"fixture, attached, pipe, house, sink","What is a Fixture? A fixture is somethingattached to a building. This fixture is a sink. Itsattached to a house witha pipe. This fixture is a toilet. Itsattached to a house witha pipe, too. There are many fixtures inmy house."
"hug, two, person, arm, goodbye","TwoPerson HugsSometimes two people hug one another. It is atwoperson hug when both people hug at the sametime. A twoperson hug often means hello or goodbye. Sometimes, people use twoperson hugs to sharetheir feelings. These hugs may mean, I love you, Weare both happy, or We are both sad. When two people hug each other at the same time,they often Stand close, facing each other Wrap one or two arms around the other person Squeeze a little but not a lot End the hug when either person begins to relax their armsSometimes two people hug each other at the same time. A twoperson hug is a way to sharefeelings."
